Accentors,Prunella,modularis
Auks,Alca,torda
Auks,Fratercula,arctica
Auks,Uria,aalge
Boobies and gannets,Morus,bassanus
Buntings,Emberiza,citrinella
Buntings,Emberiza,schoeniclus
Chats,Oenanthe,oenanthe
Chats,Phoenicurus,phoenicurus
Chats,Saxicola,rubicola
Cormorants and shags,Gulosus,aristotelis
Crows,Corvus,cornix
Crows,Corvus,corone
Crows,Corvus,frugilegus
Crows,Corvus,monedula
Crows,Garrulus,glandarius
Crows,Pica,pica
"Ducks, geese and swans",Anas,crecca
"Ducks, geese and swans",Anas,penelope
"Ducks, geese and swans",Anas,platyrhynchos
"Ducks, geese and swans",Anser,anser
"Ducks, geese and swans",Anser,brachyrhynchus
"Ducks, geese and swans",Aythya,fuligula
"Ducks, geese and swans",Branta,bernicla
"Ducks, geese and swans",Branta,canadensis
"Ducks, geese and swans",Melanitta,nigra
Finches,Acanthis,cabaret
Finches,Carduelis,carduelis
Finches,Carduelis,spinus
Finches,Chloris,chloris
Finches,Fringilla,coelebs
Finches,Fringilla,montifringilla
Finches,Linaria,cannabina
Finches,Pyrrhula,pyrrhula
Grouse,Lagopus,lagopus
Gulls and terns,Chroicocephalus,ridibundus
Gulls and terns,Larus,argentatus
Gulls and terns,Larus,canus
Gulls and terns,Larus,fuscus
Gulls and terns,Rissa,tridactyla
Gulls and terns,Sterna,paradisaea
Kinglets and Firecrests,Regulus,regulus
"Kites, hawks and eagles",Buteo,buteo
Larks,Alauda,arvensis
Long-tailed tits,Aegithalos,caudatus
Nuthatches,Sitta,europaea
Old World flycatchers and chats,Erithacus,rubecula
Old World sparrows,Passer,domesticus
Old World sparrows,Passer,montanus
Owls,Strix,aluco
Oystercatchers,Haematopus,ostralegus
Petrels and shearwaters,Fulmarus,glacialis
Petrels and shearwaters,Puffinus,puffinus
Pheasants and partridges,Alectoris,rufa
Pheasants and partridges,Phasianus,colchicus
Pigeons and doves,Columba,livia
Pigeons and doves,Columba,oenas
Pigeons and doves,Columba,palumbus
Pigeons and doves,Streptopelia,decaocto
Pipits and wagtails,Anthus,pratensis
Pipits and wagtails,Anthus,trivialis
Pipits and wagtails,Motacilla,alba
Plovers,Pluvialis,apricaria
Plovers,Vanellus,vanellus
"Rails, crakes and coots",Fulica,atra
"Rails, crakes and coots",Gallinula,chloropus
